"_SITE_TITLE";"Social Network"
"No, do not allow members to comment on blogs.";"No, do not allow members to comment on blogs."
"Maximum Allowed Blog Entries?";"Maximum Allowed Blog Entries?"
"Enter the maximum number of allowed blog entries. The field must contain an integer between 1 and 999, or empty for unlimited.";"Enter the maximum number of allowed blog entries. The field must contain an integer between 1 and 999, or empty for unlimited."
"Popular Blog Entries";"Popular Blog Entries"
"Profile Blogs";"Profile Blogs"
"Recent Blog Entries";"Recent Blog Entries"
"Blog Main Navigation Menu";"Blog Main Navigation Menu"
"Blog Quick Navigation Menu";"Blog Quick Navigation Menu"
"Blog Gutter Navigation Menu";"Blog Gutter Navigation Menu"
"Arts & Culture";"Arte & Cultura"
"Business";"Business"
"Entertainment";"Intrattenimento"
"Family & Home";"Famiglia & Casa"
"Health";"Salute"
"Recreation";"Divertimento"
"Personal";"Personale"
"Shopping";"Shopping"
"Society";"Società"
"Sports";"Sports"
"Technology";"Tecnologia"
"{item:$subject} wrote a new blog entry:";"{item:$subject} ha scritto sul blog:"
"{item:$subject} commented on {item:$owner}'s {item:$object:blog entry}:";"{item:$subject} commented on {item:$owner}'s {item:$object:blog entry}: {body:$body}"""
"ITEM_TYPE_BLOG";"Blog Entries"
"Member Type";"Tipo di affiliazione"
"Only Members With Photos";"Solo Iscritti Con Foto"
"Only Online Members";"Solo Iscritti Online"
"'%value%' is not a valid zip code.";"'%value%' is not a valid zip code."
"Minimum Age";"Minimum Age"
"Currency Type";"Currency Type"
"Edit Profile Question";"Edit Profile Question"
"Question Type";"Question Type"
"Question Label";"Question Label"
"Inline CSS";"Inline CSS"
"Custom Error Message";"Custom Error Message"
"Required?";"Required?"
"Show on Browse Members Page?";"Mostra nella pagina Cerca Iscritti?
"
"Hide on Browse Members";"Nascondi in Ricerca Iscritti"
"Show on Browse Members";"Mostra in Ricerca Iscritti"
"Show when no profile type has been selected";"Show when no profile type has been selected"
"Show on Member Profiles?";"Show on Member Profiles?"
"Show on Member Profiles";"Show on Member Profiles"
"Show on Member Profiles (with links)";"Show on Member Profiles (with links)"
"Hide on Member Profiles";"Hide on Member Profiles"
"Save Question";"Save Question"
"Heading Name";"Heading Name"
"Add Heading";"Add Heading"
"Choice Label";"Choice Label"
"Add Choice";"Add Choice"
"Profile Type Label";"Profile Type Label"
"Add Profile Type";"Add Profile Type"
"These extra questions appear when ""%1$s"" is selected for ""%2$s"".";"These extra questions appear when ""%1$s"" is selected for ""%2$s""."
"FIELDS_VIEWS_SCRIPTS_ADMINFIELDS_DESCRIPTION";"Your members will be asked to provide some information about themselves when joining the community or editing their profile. Create some profile questions that allow them to describe themselves in a way that relates to the theme of your community. To reorder the profile questions, click on their names and drag them up or down. If you want to show different sets of questions to different types of members, you can create multiple profile types"". This is useful, for example, if you want your community to have ""fans"" and ""musicians"", each with a different set of profile questions."""
"Add Question";"Add Question"
"Rename Profile Type";"Rename Profile Type"
"Delete Profile Type";"Delete Profile Type"
"Create New Profile Type";"Create New Profile Type"
"Save Order";"Save Order"
"Unable to find identifiers in text:";"Unable to find identifiers in text:"
"cannot toggle, no event or element";"cannot toggle, no event or element"
"unable to find";"unable to find"
"could not find target element";"could not find target element"
"unable to find option_id";"unable to find option_id"
"Are you sure you want to delete this option?";"Are you sure you want to delete this option?"
"Are you sure you want to delete the current profile type?";"Are you sure you want to delete the current profile type?"
"unable to find option_id for field";"unable to find option_id for field"
"Are you sure you want to delete this field?";"Are you sure you want to delete this field?"
"add question";"add question"
"hide questions";"hide questions"
"edit choices";"edit choices"
"add new choice";"add new choice"
"Add Profile Question";"Add Profile Question"
"Edit Profile Type";"Edit Profile Type"
"Single-line Text Input";"Single-line Text Input"
"Multi-line Text Input";"Multi-line Text Input"
"Select Box";"Select Box"
"Radio Buttons";"Radio Buttons"
"Single Checkbox";"Single Checkbox"
"Multi Select Box";"Multi Select Box"
"Multi Checkbox";"Multi Checkbox"
"Integer";"Integer"
"Float";"Float"
"Heading";"Heading"
"City";"City"
"Country";"Country"
"Zip Code";"Zip Code"
"Relationship Status";"Relationship Status"
"Looking For";"Looking For"
"Interested In";"Interested In"
"Education";"Education"
"Ethnicity";"Ethnicity"
"Income";"Income"
"Occupation";"Occupation"
"Political Views";"Political Views"
"Religion";"Religion"
"Weight";"Weight"
"Zodiac";"Zodiac"
"Eye Color";"Eye Color"
"Currency";"Currency"
"Not Required";"Not Required"
"Required";"Required"
"Generic";"Generic"
"Specific";"Specific"
"Delete Network";"Delete Network"
"Are you sure you want to delete this network?";"Are you sure you want to delete this network?"
"My Network";"My Network"
"Create Network";"Create Network"
"Edit Network";"Edit Network"
"NETWORK_FORM_ADMIN_NETWORK_DESCRIPTION";"If you decide to have members join this network automatically (based on their profile information), you will need to select a profile field and provide a matching value. When members enter that value when creating or editing their profile, they will automatically join this network. You can choose to ""hide"" this network if you want members to belong to it invisibly. This means that only you will know what members belong to the network."
"Member Assignment";"Member Assignment"
"Members can choose to join this network at any time";"Members can choose to join this network at any time"
"Members are automatically assigned to this network";"Members are automatically assigned to this network"
"Members must be assigned to this network by an administrator";"Members must be assigned to this network by an administrator"
"Related Profile Question";"Related Profile Question"
"Matching Value";"Matching Value"
"Invisible?";"Invisible?"
"Yes, hide membership for this network.";"Yes, hide membership for this network."
"Delete Network?";"Delete Network?"
"Delete the selected networks?";"Delete the selected networks?"
"Are you sure that you want to delete the %s network? It will not be recoverable after being deleted.";"Are you sure that you want to delete the %s network? It will not be recoverable after being deleted.";"Are you sure that you want to delete the %s networks? They will not be recoverable after being deleted."
"Manage Networks";"Manage Networks"
"NETWORK_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"Networks are generally used for determining what members see in the ""what's new"" feed, letting members associate with each other based on common profile information (without needing to be friends directly), and serving advertisements to specific groups of members. Each member can join one or more networks if you allow them to, and their networks will be shown on their profile. If you decide to have networks, be sure that they relate to your community's theme. For example, if your community has members from various countries, you can create a network for each country. If you want your members to see recent posts from other people in their networks (even if they're not yet friends with each other), you can adjust that setting %s."
"Add Network";"Add Network"
"Network Name";"Network Name"
"n/a";"n/a"
"ACTIVITY_TYPE_NETWORK_JOIN";"Quando mi iscrivo ad un network"
"ITEM_TYPE_NETWORK";"Networks"
"User";"User"
"Post";"Post"
"If you already have an account, please enter your details below. If you don't have one yet, please <a href='%s'>sign up</a> first.";"Se hai già un account, inserisci i tuoi dati di accesso. Se non fai ancora parte della nostra community <a href='%s'>iscriviti</a> in pochi semplici passaggi."
"<span><a href='%s'>Forgot Password?</a></span>";"<span><a href='%s'>Password Dimenticata?</a></span>"
"Block Member";"Blocca questa persona"
"Do you want to block this member?";"Il tuo profilo non sarà più accessibile per questo utente. Sei certo di voler bloccare questa persona? "
"Unblock Member";"Sblocca questa persona"
"Do you want to unblock this member?";"L'Utente potrà nuovamente vedere il tuo profilo e potrà contattarti. Sei certo di voler sbloccare questa persona?"
"Make Profile Photo";"Scegli come foto del profilo"
"Do you want to make this photo your profile photo?";"Vuoi utilizzare questa immagine come foto del profilo?"
"Save";"Salva"
"Edit Member Profile";"Modifica Profilo"
"%1$s's Profile";"%1$s's Profile"
"Current Photo";"Immagine attuale"
"Choose New Photo";"Scegli una foto dal tuo computer"
"Save Photo";"Salva Foto"
"Profile Photos";"Foto del profilo"
"Profile Style";"Stile Profilo"
"Add your own CSS code above to give your profile a more personalized look.";"Aggiungere sopra un proprio codice CSS per dare al vostro profilo un look più personalizzato."
"Save Styles";"Salva Stile"
"Add Friend";"Aggiungi amico"
"Would you like to add this member as a friend?";"Ti piacerebbe stringere un'amicizia con questa persona?"
"Cancel Friend Request";"Annulla richiesta d'amicizia"
"Do you want to cancel your friend request?";"Sei certo di voler annullare la tua richiesta d'amicizia?"
"Cancel Request";"Cancella Richiesta"
"Confirm Friend";"Conferma amicizia"
"Would you like to confirm this member as a friend?";"Accetti la proposta di amicizia di questa persona?"
"Reject Friend";"Respingi richiesta d'amicizia"
"Would you like to reject this member as a friend?";"Would you like to reject this member as a friend?"
"Remove Friend";"Rimuovi amico"
"Are you sure you want to remove this member as a friend?";"Sei certo di voler rimuovere questa persona dalla lista dei tuoi amici?"
"Delete Account";"Elimina Account"
"Are you sure you want to delete your account? Any content you've uploaded in the past will be permanently deleted. You will be immediately signed out and will no longer be able to sign in with this account.";"Sei sicuro di voler eliminare il tuo account? Tutti i contenuti che hai caricato in passato saranno eliminati definitivamente. Sarai successivamente disconnesso e non sarai più in grado di accedere con questo account.
"
"Yes, Delete My Account";"Si, Cancella Il Mio Account"
"This is the last super admin account. Please reconsider before deleting this account.";"This is the last super admin account. Please reconsider before deleting this account."
"My Settings";"Impostazioni"
"General";"Generale"
"Notifications";"Notifiche"
"General Settings";"Impostazioni Generali"
"Notification Settings";"Impostazioni Notifiche"
"Please enter a valid email address.";"Ti preghiamo di inserire un indirizzo email valido"
"Someone has already registered this email address, please use another one.";"Someone has already registered this email address, please use another one."
"Profile Address";"Nome Profilo"
"Please enter a valid profile address.";"Please enter a valid profile address."
"Someone has already picked this profile address, please use another one.";"Someone has already picked this profile address, please use another one."
"Profile addresses must start with a letter.";"Profile addresses must start with a letter."
"Profile addresses must be alphanumeric.";"Profile addresses must be alphanumeric."
"Account Type";"Account Type"
"Timezone";"Fuso Orario"
"Locale";"Località"
"Dates, times, and other settings will be displayed using this locale setting.";"Seleziona la tua lingua e il tuo paese di provenienza."
"Email Alerts";"Email Alerts"
"Which of the these do you want to receive email alerts about?";"In quali di questi casi volete ricevere notifiche via email?"
"Join Network";"Partecipa al Network"
"Change Password";"Cambia Password"
"Old Password";"Vecchia Password"
"New Password";"Nuova Passord"
"Passwords must be at least 6 characters in length.";"La password deve contenere almeno 6 caratteri."
"New Password (again)";"Conferma Nuova Password"
"Enter your password again for confirmation.";"Reinserisci la password per conferma."
"Privacy Settings";"Impostazioni Privacy"
"Blocked Members";"Blocco Utenti"
"Adding a person to your block list makes your profile (and all of your other content) unviewable to them. Any connections you have to the blocked person will be canceled. To add someone to your block list, visit that person's profile page.";"Aggiungendo una persona alla vostra lista bloccati rendete il vostro profilo (e tutti i suoi contenuti) invisibili alla persona stessa. Tutti i collegamenti con la persona bloccata saranno annullati. Per aggiungere qualcuno alla vostra lista bloccati, visitate il profilo interessato."
"Do not display me in searches, browsing members, or the ""Online Members"" list.";"Non visualizzarmi nelle ricerche, nella pagina di ricerca iscritti e nella lista degli utenti online."
"Profile Privacy";"Privacy del Profilo"
"Who can view your profile?";"Chi potrà vedere il tuo profilo?"
"Profile Posting Privacy";"Privacy & Pubblicazione"
"Who can post on your profile?";"Chi può pubblicare sul tuo profilo?"
"Only Me";"Solo io"
"Only My Friends";"Solo i miei amici"
"Only My Networks";"Solo i miei networks"
"All Members";"Tutti Gli Iscritti"
"Recent Activity Privacy";"Privacy Attività Recenti"
"Which of the following things do you want to have published about you in the recent activity feed? Note that changing this setting will only affect future news feed items.";"In quali dei seguenti casi vuoi rendere pubbliche le azioni del tuo profilo tra le attività recenti del sito? (cambiando queste impostazioni, gli effetti conseguenti varranno per le attività future e non saranno retroattive)."
"Create Account";"Crea Account"
"You will use your email address to login.";"Userai questo indirizzo email per il login."
"Please enter a valid password.";"Inserisci una password valida."
"Password Again";"Ripeti Password"
"Please make sure the ""password"" and ""password again"" fields match.";"Assicurati che i campi ""password"" e ""ripeti password"" siano perfettamente corrispondenti."
"Password did not match";"Password non inserita"
"Language";"Lingua"
"Continue";"Procedi"
"Member Sign In";"Login Iscritti"
"Please validate that you are not a robot by typing in the letters and numbers in this image:";"Please validate that you are not a robot by typing in the letters and numbers in this image:"
"Edit My Profile";"Modifica Profilo"
"Personal Info";"Info Personali"
"Edit My Photo";"Modifica La Mia Foto"
"clear";"cancella"
"add to list";"aggiungi alla lista"
"Choose Friend List";"Choose Friend List"
"New list...";"Nuova lista..."
"%1$s has sent you a friend request.";"%1$s ti ha inviato una richiesta d'amicizia."
"ignore request";"ignora richiesta"
"Browse Members";"Cerca Iscritti"
"%s member found.";"%s iscritto trovato.";"%s iscritti trovati."
"Loading...";"Caricamento..."
"View More";"View More"
"Post something...";"Pubblica Qualcosa..."
"Missing heading";"Missing heading"
"Member Info";"Info "
"Member Type:";"Livello:"
"This profile is private - only friends of this member may view it.";"Questo profilo è privato e può essere visto solo dagli amici di questo iscritto."
"Settings were successfully saved.";"Impostazioni salvate con successo."
"My Networks";"I Miei Networks"
"You belong to %s network.";"Appartieni a %s network.";"Appartieni a %s networks."
"%s member.";"%s member.";"%s members."
"Leave Network";"Leave Network"
"To add a new network, begin typing its name below.";"Per aggiungere una nuova rete, iniziare a digitare il suo nome qui sotto o clicca per vedere i Networks disponibili."
"We now";"We now"
"yourname";"yourname"
"Signup complete!";"Signup complete!"
"skip";"salta"
"Hi %1$s!";"Ciao %1$s!"
"Lists:";"Lists"
"Mutual Friends";"Amici in comune"
"Profile Views:";"Visite al Profilo:"
"Friends:";"Amici:"
"Last Update:";"Ultimo Aggiornamento:"
"Joined:";"Iscritto:"
"%s view";"%s ";"%s"
"%s friend";"%s amico";"%s amici"
"You are already signed in.";"You are already signed in."
"No record of a member with that email was found.";"Nessun membro della comunità è registrato con questa e-mail."
"Invalid credentials";"Invalid credentials"
"Invalid credentials supplied";"Invalid credentials supplied"
"You are already logged out.";"You are already logged out."
"Another member has already associated with that facebook account";"Another member has already associated with that facebook account"
"Login successful";"Login successful"
"You are now logged out.";"You are now logged out."
"No member specified";"No member specified"
"No action taken";"No action taken"
"An error has occurred.";"An error has occurred."
"Member unblocked";"Utente Sbloccato"
"Member blocked";"Utente bloccato"
"The uploaded file is not supported or is corrupt.";"The uploaded file is not supported or is corrupt."
"Set as profile photo";"Set as profile photo"
"Missing list/not authorized";"Missing list/not authorized"
"Already in list";"Already in list"
"Member added to list.";"Member added to list."
"Already not in list";"Already not in list"
"Member removed from list.";"Member removed from list."
"List deleted";"List deleted"
"You cannot befriend yourself.";"You cannot befriend yourself."
"You are already friends with this member.";"You are already friends with this member."
"Friendship request was not sent because you blocked this member.";"Friendship request was not sent because you blocked this member."
"Your friend request has been sent.";"La tua richiesta d'amicizia è stata inoltrata."
"Your friend request has been cancelled.";"La tua richiesta di amicizia è stata annullata."
"You are now friends with %1$s";"Tu e %1$s adesso siete amici"
"You ignored a friend request from %1$s";"You ignored a friend request from %1$s"
"This person has been removed from your friends.";"Questa persona è stata rimossa dalla lista dei tuoi amici."
"Settings saved.";"Impostazioni salvate."
"Passwords did not match";"Passwords did not match"
"Old password did not match";"La vecchia password non è stata trovata"
"Network not found";"Network not found"
"Invalid param count";"Invalid param count"
"Invalid param value";"Invalid param value"
"USER_ADMIN_SIGNUP_STEP_1";"Crea Account"
"USER_ADMIN_SIGNUP_STEP_2";"Crea Profile"
"USER_ADMIN_SIGNUP_STEP_3";"Aggiungi una tua foto"
"USER_ADMIN_SIGNUP_STEP_4";"Invita i Tuoi Amici"
"USER_ADMIN_SETTINGS_FACEBOOK_DESCRIPTION";"You can now integrate SocialEngine to Facebook.  To do so, create an Application through the <a href=""http://www.facebook.com/developers/#!/developers/apps.php"" target=""_blank"">Facebook Developers</a> page."
"I have read and agree to the <a target=""_blank"" href=""%s/help/terms"">terms of service</a>.";"Dichiaro di aver letto ed accettato le <a target=""_blank"" href=""%s/help/terms"">condizioni del servizio</a>."
"You must agree to the terms of service to continue.";"Per proseguire è necessario accettare le condizioni del servizio."
"This will be the end of your profile link, for example: <br /> <span id=""profile_address"">http://%s</span>";"Il nome scelto rappresenterà la parte finale del link al tuo profilo, per esempio: <br /> <span id=""profile_address"">http://%s</span>"
"You are now friends with %s";"You are now friends with %s"
"You ignored %s's request to follow you";"You ignored %s's request to follow you"
"You ignored a friend request from %s";"You ignored a friend request from %s"
"You are now following this member.";"You are now following this member."
"You are now friends with this member.";"You are now friends with this member."
"Delete User";"Delete User"
"Are you sure you want to delete this user?";"Are you sure you want to delete this user?"
"Remove User";"Remove User"
"Edit Member";"Edit Member"
"You can change the details of this member's account here.";"You can change the details of this member's account here."
"Enabled?";"Enabled?"
"Verified?";"Verified?"
"Approved";"Approved"
"Not Approved";"Not Approved"
"USER_FORM_ADMIN_SETTINGS_FRIENDS_DESCRIPTION";"Facilitating relationships between members is essential to building a successful social network. There are several different types of connections that can exist between members. Use this page to determine how members will associate with each other. Note that although we refer to these relationships as friendships"" in this control panel, you should use a word that best fits with your social network's theme. For example, if you are running a business-oriented social network, you may want to change this word to """"connections."""""""
"Who Can Become Friends";"Who Can Become Friends"
"USER_FORM_ADMIN_SETTINGS_ELIGIBLE_DESCRIPTION";"Who can members invite to become their friends? Note that if you select nobody"", none of the other settings on this page will apply."""
"Only members in their networks";"Only members in their networks"
"Nobody";"Nobody"
"Friendship Direction";"Friendship Direction"
"USER_FORM_ADMIN_SETTINGS_DIRECTION_DESCRIPTION";"Your social network can allow either one-way or two-way friendships. The default setting is two-way friendships as this is typical for most social networks. One-way friendships mean that when MemberA adds MemberB, MemberB will appear on MemberA's friend list but NOT the reverse."
"Two-way Friendships";"Two-way Friendships"
"One-way Friendships";"One-way Friendships"
"Friendship Verification";"Friendship Verification"
"USER_FORM_ADMIN_SETTINGS_VERIFICATION_DESCRIPTION";"Your social network can allow either verified or unverified friendship requests. The default setting is verified friendship requests as this is typical for most social networks. Unverified friendship requests mean that when MemberA adds MemberB as a friend, MemberA and MemberB will immediately become friends without any confirmation."
"Verified Friendships";"Verified Friendships"
"Unverified Friendships";"Unverified Friendships"
"Friend Lists";"Friend Lists"
"USER_FORM_ADMIN_SETTINGS_LISTS_DESCRIPTION";"Add friendship types to allow your users to specify their varying degrees of friendships. Example friendship types include Acquaintance"", ""Co-Worker"", ""Best Friend"", ""Significant Other"", etc. If you only specify one friendship type or leave this area blank, users will not be prompted to specify a friendship type when connecting to other users."""
"Yes, users can group their friends into lists";"Yes, users can group their friends into lists"
"No, do not allow friend lists";"No, do not allow friend lists"
"Specify what privacy options will be available to members in this level.";"Specify what privacy options will be available to members in this level."
"Allow Blocking?";"Allow Blocking?"
"USER_FORM_ADMIN_SETTINGS_LEVEL_BLOCK_DESCRIPTION";"If set to ""yes"", members can block other members from sending them private messages, requesting their friendship, and viewing their profile. This helps fight spam and network abuse."
"Search Privacy Options";"Cerca Opzioni Privacy"
"USER_FORM_ADMIN_SETTINGS_LEVEL_SEARCH_DESCRIPTION";"If set to ""yes"", members will be able to exclude themselves from search results and the lists of members on the homepage (such as Recent Signups). Otherwise, all members will be included in search results."
"Profile Viewing Options";"Profile Viewing Options"
"USER_FORM_ADMIN_SETTINGS_LEVEL_AUTHVIEW_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can see their profile. If you do not check any options, everyone will be allowed to view profiles."
"Profile Commenting Options";"Profile Commenting Options"
"USER_FORM_ADMIN_SETTINGS_LEVEL_AUTHCOMMENT_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can post comments on their profile. If you do not check any options, everyone will be allowed to post comments on profiles."
"Allow status messages?";"Allow status messages?"
"USER_FORM_ADMIN_SETTINGS_LEVEL_STATUS_DESCRIPTION";"If set to ""yes"", members can post their ""status"" on their profile. By updating their status, members can tell others what they are up to, what's on their minds, etc."
"Allow username changes?";"Allow username changes?"
"USER_FORM_ADMIN_SETTINGS_LEVEL_USERNAME_DESCRIPTION";"If set to ""yes"", members will have the option of changing their username. If usernames are not enabled, this setting has no effect."
"Allow account deletion?";"Allow account deletion?"
"If set to ""yes"", members will have the option of deleting their accounts.";"If set to ""yes"", members will have the option of deleting their accounts."
"Step 1: Create Account";"Passo 1: Crea Account"
"Auto-approve Members";"Auto-approvazione Iscritti"
"USER_FORM_ADMIN_SIGNUP_APPROVE_DESCRIPTION";"If you have selected YES, members will automatically be enabled when they signup. If you select NO, you will need to manually enable members through the View Members page. Members that are not enabled cannot login."
"Yes, enable members upon signup.";"Yes, enable members upon signup."
"No, do not enable members upon signup.";"No, do not enable members upon signup."
"Yes, make members agree to your terms of service on signup.";"Yes, make members agree to your terms of service on signup."
"No, members will not be shown a terms of service checkbox on signup.";"No, members will not be shown a terms of service checkbox on signup."
"USER_FORM_ADMIN_SIGNUP_TERMS_DESCRIPTION";"Require members to agree to your terms of service?  You can modifying your terms of service by editing the _CORE_TERMS_OF_SERVICE language variable in the application/languages/en/core.csv file."
"Generate Random Passwords?";"Generate Random Passwords?"
"USER_FORM_ADMIN_SIGNUP_RANDOM_DESCRIPTION";"If you have selected YES, a random password will be created for members when they signup. The password will be emailed to them upon the completion of the signup process. This is another method of verifying members' email addresses."
"Yes, generate random passwords and email to new members.";"Yes, generate random passwords and email to new members."
"No, let members choose their own passwords.";"No, let members choose their own passwords."
"Verify Email Address?";"Verify Email Address?"
"USER_FORM_ADMIN_SIGNUP_VERIFYEMAIL_DESCRIPTION";"Force members to verify their email address before they can login? If set to YES, members will be sent an email with a verification link which they must click to activate their account."
"Yes, verify email addresses.";"Yes, verify email addresses."
"No, just send members a welcome email";"No, just send members a welcome email"
"No, do not email new members.";"No, do not email new members."
"USER_FORM_ADMIN_SIGNUP_INVITEONLY_DESCRIPTION";"Do you want to turn off public signups and only allow invited members to signup? If yes, you can choose to have either admins and members invite new members, or just admins. If set to yes, an invite code will be required on the signup page.  Note that if you choose to allow only admins to invite new members then the 'Invite Your Friends' signup step will be disabled, even if you have enabled it elsewhere."
"Yes, admins and members must invite new members before they can signup.";"Yes, admins and members must invite new members before they can signup."
"Yes, admins must invite new members before they can signup.";"Yes, admins must invite new members before they can signup."
"No, disable the invite only feature.";"No, disable the invite only feature."
"Empty";"Empty"
"USER_FORM_ADMIN_SIGNUP_CHECKEMAIL_DESCRIPTION";"Should each invite code be bound to each invited email address? If set to NO, anyone with a valid invite code can signup regardless of their email address. If set to YES, anyone with a valid invite code that matches an email address that was invited can signup."
"Yes, check that a member's email address was invited.";"Yes, check that a member's email address was invited."
"No, anyone with an invite code can signup.";"No, anyone with an invite code can signup."
"Step %d: Create Profile";"Passo %d: Crea Profilo"
"USER_FORM_ADMIN_SIGNUP_FIELDS_DESCRIPTION";"In the next step of the signup process the member will fill out their profile field information.  Click <a href='%s'>here</a> to edit field settings."
"Step %d: Invite Your Friends";"Passo %d: Invita I Tuoi Amici"
"Invite Friends";"Invita Amici"
"USER_FORM_ADMIN_SIGNUP_FIELDS_ENABLE_DESCRIPTION";"Do you want members to invite their friends during the signup process?  Note that this setting will be ignored if you've chosen to limit invitation privileges to admins only."
"Yes, include the Invite Friends"" step during signup.""";"Yes, include the Invite Friends"" step during signup."""
"No, do not include this step.";"No, do not include this step."
"User Photo Upload";"User Photo Upload "
"Do you want your users to be able to upload a photo of themselves upon signup?";"Do you want your users to be able to upload a photo of themselves upon signup?"
"Yes, give users the option to upload a photo upon signup.";"Yes, give users the option to upload a photo upon signup."
"No, do not allow users to upload a photo upon signup.";"No, do not allow users to upload a photo upon signup."
"Lost Password";"Recupero Password"
"USER_FORM_AUTH_FORGOT_DESCRIPTION";"Se non ti è possibile effettuare il login perché hai dimenticato la password, inserisci il tuo indirizzo email nel campo sottostante per ricevere subito le necessarie istruzioni."
"USER_FORM_AUTH_FACEBOOK_NOACCOUNT";"Your Facebook login was accepted, but no linked account was found. Would you like to <a href=""%s"">create an account</a>?<br>You may also log in to an existing account below, then link your Facebook account in the <a href=""%2$s"">Settings</a> page."
"Send Email";"Invia Email"
"Reset password?";"Reset password?"
"Confirm New Password";"Conferma Nuova Password"
"Reset Password";"Reset Password"
"Facebook Integration";"Facebook Integration"
"Integrate with my Facebook";"Integrate with my Facebook"
"USER_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"The members of your social network are listed here. If you need to search for a specific member, enter your search criteria in the fields below."
"Are you sure you want to delete the selected user accounts?";"Are you sure you want to delete the selected user accounts?"
"Manage Members";"Manage Members"
"%s member found";"%s member found";"%s members found"
"User Level";"User Level"
"Member Settings";"Member Settings"
"Member Signup Process";"Member Signup Process"
"USER_VIEWS_SCRIPTS_ADMINSIGNUP_INDEX_DESCRIPTION";"When new members sign up, they are led through a step-by-step process that helps them create an account and fill out their profile. You can customize most aspects of this sign-up process here. On the left, there is a list of steps that make up the sign-up process. You can change the order of these steps by clicking on the arrows and dragging up or down. The first step's position cannot be changed, as this is where new members create their accounts."
"USER_VIEWS_SCRIPTS_AUTH_FORGOT_DESCRIPTION";"You have been sent an email with instructions how to reset your password. If the email does not arrive within several minutes, be sure to check your spam or junk mail folders."
"Your password has been reset. Click %s to sign-in.";"Your password has been reset. Click %s to sign-in."
"Your account has been verified.  Please click %s to login, or wait to be redirected.";"Your account has been verified.  Please click %s to login, or wait to be redirected."
"Linking your Facebook account will give you access to use your Facebook account to log in.";"Linking your Facebook account will give you access to use your Facebook account to log in."
"Linking your Facebook account will give you access to use your Facebook account to log in and publish to your Facebook account.";"Linking your Facebook account will give you access to use your Facebook account to log in and publish to your Facebook account."
"Updates";"Aggiornamenti"
"Admin";"Admin"
"My Profile";"Profilo"
"Messages";"Messaggi"
"Sign Out";"Esci"
"Sign In";"Login"
"Sign Up";"Iscriviti"
"Privacy";"Privacy"
"Network Stats";"Statistiche Network"
"%s Members Online";"%s Iscritto Online";"%s Iscritti Online"
"Newest Members";"Nuovi Iscritti"
"Info";"Info"
"Profile Type";"Tipo di Profilo"
"Regular Member";"Utente Regolare"
"Personal Information";"Informazioni Personali"
"First Name";"Nome"
"Last Name";"Cognome"
"Gender";"Genere"
"Male";"Maschile"
"Female";"Femminile"
"Birthday";"Data di nascita"
"Birthdate";"Birthdate"
"Contact Information";"Informazioni di Contatto"
"Website";"Sito Web"
"Facebook";"Facebook"
"Twitter";"Twitter"
"Personal Details";"Dettagli Personali"
"AIM";"AIM"
"About Me";"Chi sono"
"Interests";"Interests"
"Age";"Età"
"Email";"Email"
"Level";"Level"
"Signup Date";"Signup Date"
"Step %d:  Add Your Photo";"Passo %d: Aggiungi una tua foto"
"Yes, include the ""Invite Friends"" step during signup.";"Yes, include the ""Invite Friends"" step during signup."
"_ACTIVITY_ACTIONTYPE_TAGGED";"Quando taggo"
"Welcome! A verification message has been sent to your email address with instructions on how to activate your account. Once you have clicked the link provided in the email and we have approved your account, you will be able to sign in.";"Welcome! A verification message has been sent to your email address with instructions on how to activate your account. Once you have clicked the link provided in the email and we have approved your account, you will be able to sign in."
"Welcome! A verification message has been sent to your email address with instructions for activating your account. Once you have activated your account, you will be able to sign in.";"Welcome! A verification message has been sent to your email address with instructions for activating your account. Once you have activated your account, you will be able to sign in."
"ITEM_TYPE_USER";"Members"
"Select the city closest to you that shares your same timezone.";"Seleziona la località più vicina a te che condivide la tua stessa fascia oraria."
"Display Name";"Display Name"
"login";"login"
"Login or Signup";"Login or Signup"
"Online Users";"Online Users"
"Profile Fields";"Profile Fields"
"Profile Friends";"Profile Friends"
"Profile Info";"Profile Info"
"Profile Mutual Friends";"Profile Mutual Friends"
"Profile Options";"Profile Options"
"Profile Status";"Profile Status"
"Profile Tags";"Tags Profilo"
"Quick Links";"Quick Links"
"Recent Signups";"Recent Signups"
"User Photo";"User Photo"
"Remove from Friends";"Rimuovi come amico"
"Approve Selected";"Approva selezionati"
"Member Home Quick Links Menu";"Member Home Quick Links Menu"
"Member Profile Options Menu";"Member Profile Options Menu"
"Member Edit Profile Navigation Menu";"Member Edit Profile Navigation Menu"
"Member Settings Navigation Menu";"Member Settings Navigation Menu"
"This account still requires either email verification or admin approval.";"This account still requires either email verification or admin approval."
"Click <a href=""%s"">here</a> to resend the email.";"Click <a href=""%s"">here</a> to resend the email."
"{item:$subject} has posted on your {item:$object:profile}.";"{item:$subject} ha pubblicato qualcosa sul tuo {item:$object:profilo}."
"You and {item:$subject} are now friends.";"Tu e {item:$subject} adesso siete amici."
"{item:$subject} has requested to be your friend.";"{item:$subject} ha chiesto la tua amicizia."
